MES,Periodo Analisis,M1,M2,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP12,CP13,CP16,CP19,HRD1,HRD2,Target,CP14,CP27,CP38,CP49,CP510,CP611,CP712,CP813,CP9,CP10,CP18,CP1914,CP20,CP21,CP22,CP23,CP24,CP25,CP26,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,MF20,MF21,MF22
Jun-16,1,61.82,38.18,66.643,0.458,0.004,2.441,0.018,0.829,0.754,0.502,0.313,0.395,89.097,6.750,3.67,95.21,8.8,1674.79,398.14,913.79,1083.04,173.93,87.94,261.88,0.396,99.518,4.280,94.994,0.220,0.986,3.665,0.095,0.012,0.000,0.004,1032.828,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,85%,0%,7%,67%,0%,0%,33%,0%,0%,0%,0%,0%
May-13,1,6.40,93.60,66.605,0.380,0.004,2.550,0.018,0.824,0.652,0.517,0.256,0.341,89.712,6.170,3.81,93.83,9.2,1646.24,374.29,912.18,1117.56,163.63,85.12,248.75,0.394,100.236,4.809,93.845,0.226,1.118,4.714,0.035,0.002,0.000,0.000,1037.827,0%,0%,54%,0%,32%,0%,0%,0%,0%,0%,0%,0%,15%,0%,0%,54%,0%,0%,0%,0%,46%,0%
Nov-19,2,22.96,77.04,65.762,0.431,0.004,3.153,0.012,1.130,0.848,0.510,0.270,0.321,89.973,6.148,3.77,94.70,10.7,1645.48,386.64,907.70,1091.14,174.51,92.44,266.95,0.397,101.605,4.109,94.899,0.545,0.832,3.535,0.140,0.015,0.001,0.006,1030.991,4%,0%,0%,0%,0%,0%,4%,0%,47%,0%,35%,0%,9%,92%,8%,0%,0%,0%,0%,0%,0%,0%
Dic-19,2,21.46,78.54,65.780,0.371,0.005,3.122,0.012,1.129,0.846,0.493,0.273,0.322,89.580,6.159,3.78,95.24,10.8,1703.16,387.69,907.68,1091.97,176.75,94.09,270.84,0.391,102.520,4.064,94.521,0.629,0.741,3.901,0.155,0.016,0.000,0.010,1034.239,4%,0%,0%,0%,0%,0%,0%,0%,14%,0%,66%,0%,16%,80%,0%,0%,0%,0%,16%,3%,0%,0%
Jun-15,1,30.00,70.00,66.653,0.430,0.003,2.443,0.013,0.880,0.731,0.430,0.303,0.354,90.706,6.584,3.63,94.70,11.1,1613.74,386.43,914.78,1094.94,161.35,92.54,253.89,0.375,104.157,4.621,94.439,0.171,1.276,3.889,0.149,0.025,0.008,0.007,1034.003,0%,52%,15%,0%,0%,14%,19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,60%,0%,0%,0%,40%,0%
Mar-16,1,59.25,40.75,66.760,0.395,0.003,2.266,0.021,0.790,0.752,0.485,0.335,0.414,90.168,6.856,3.74,94.47,11.4,1689.60,402.92,914.76,1082.75,168.56,90.27,258.83,0.404,98.281,4.409,95.125,0.301,0.953,3.455,0.099,0.020,0.002,0.017,1031.579,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,80%,0%,9%,22%,0%,0%,78%,0%,0%,0%,0%,0%
Abr-13,1,20.00,80.00,66.623,0.497,0.004,2.657,0.017,0.805,0.591,0.514,0.223,0.320,90.070,6.221,3.78,94.06,11.4,1630.78,383.34,912.10,1112.58,162.39,84.32,246.71,0.390,100.870,4.958,93.747,0.225,1.148,4.798,0.081,0.005,0.001,0.004,1038.902,0%,0%,74%,0%,16%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,59%,0%,10%,0%,0%,32%,0%
Feb-20,2,53.63,46.37,65.508,0.464,0.005,3.319,0.014,1.137,0.961,0.528,0.293,0.341,90.400,6.267,3.73,94.92,11.8,1672.03,385.67,909.80,954.77,173.76,94.52,268.28,0.391,102.366,4.018,94.428,0.637,0.839,3.903,0.145,0.016,0.000,0.007,1032.878,12%,0%,0%,0%,0%,0%,48%,0%,12%,0%,17%,0%,11%,90%,0%,0%,0%,0%,0%,10%,0%,0%
Ene-13,1,20.00,80.00,66.312,0.348,0.004,2.776,0.020,0.893,0.707,0.560,0.254,0.345,90.770,6.520,3.97,94.41,11.9,1681.62,368.25,904.47,1115.98,174.45,85.06,259.51,0.387,101.034,4.700,93.654,0.218,1.169,4.911,0.035,0.004,0.000,0.002,1039.085,0%,0%,94%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,42%,0%,45%,0%,0%,12%,0%
Abr-16,1,59.67,40.33,66.653,0.422,0.004,2.384,0.019,0.790,0.762,0.532,0.323,0.417,89.691,7.085,3.81,94.81,11.9,1690.39,404.31,914.73,1083.17,175.34,85.13,260.47,0.407,95.970,4.400,72.884,0.212,0.722,2.731,0.091,0.014,0.001,0.010,1032.512,0%,0%,0%,0%,0%,0%,15%,0%,0%,0%,78%,0%,7%,53%,0%,0%,46%,0%,0%,0%,1%,0%
